Broker    Stock          Value     Changes   Date and Time
Broker 2  Commodity      555       5         2/13/2026 10:43:21 PM
Broker 3  Banking        101       5         2/13/2026 10:43:21 PM
Broker 4  Commodity      555       5         2/13/2026 10:43:21 PM
Broker 4  Banking        101       5         2/13/2026 10:43:21 PM
Broker 2  Commodity      568       6         2/13/2026 10:43:21 PM
Broker 2  Banking        103       6         2/13/2026 10:43:21 PM
Broker 3  Banking        103       6         2/13/2026 10:43:21 PM
Broker 4  Banking        103       6         2/13/2026 10:43:21 PM
Broker 1  Retail         37        7         2/13/2026 10:43:22 PM
Broker 2  Technology     177       7         2/13/2026 10:43:22 PM
Broker 4  Retail         37        7         2/13/2026 10:43:22 PM
Broker 3  Technology     177       7         2/13/2026 10:43:22 PM
Broker 4  Technology     177       7         2/13/2026 10:43:22 PM
Broker 2  Commodity      570       7         2/13/2026 10:43:22 PM
Broker 2  Banking        104       7         2/13/2026 10:43:22 PM
Broker 4  Commodity      570       7         2/13/2026 10:43:22 PM
Broker 3  Banking        104       7         2/13/2026 10:43:22 PM
Broker 4  Banking        104       7         2/13/2026 10:43:22 PM
Broker 1  Retail         38        8         2/13/2026 10:43:22 PM
Broker 2  Technology     179       8         2/13/2026 10:43:22 PM
Broker 4  Retail         38        8         2/13/2026 10:43:22 PM
Broker 3  Technology     179       8         2/13/2026 10:43:22 PM
Broker 4  Technology     179       8         2/13/2026 10:43:22 PM
Broker 2  Commodity      571       8         2/13/2026 10:43:22 PM
Broker 4  Commodity      571       8         2/13/2026 10:43:22 PM
Broker 2  Banking        105       8         2/13/2026 10:43:22 PM
Broker 3  Banking        105       8         2/13/2026 10:43:22 PM
Broker 4  Banking        105       8         2/13/2026 10:43:22 PM
Broker 1  Retail         39        9         2/13/2026 10:43:23 PM
Broker 2  Technology     181       9         2/13/2026 10:43:23 PM
Broker 3  Technology     181       9         2/13/2026 10:43:23 PM
Broker 4  Technology     181       9         2/13/2026 10:43:23 PM
Broker 2  Commodity      580       9         2/13/2026 10:43:23 PM
Broker 2  Banking        108       9         2/13/2026 10:43:23 PM
Broker 3  Banking        108       9         2/13/2026 10:43:23 PM
Broker 4  Banking        108       9         2/13/2026 10:43:23 PM
Broker 1  Technology     183       10        2/13/2026 10:43:23 PM
Broker 2  Technology     183       10        2/13/2026 10:43:23 PM
Broker 1  Retail         40        10        2/13/2026 10:43:23 PM
Broker 3  Technology     183       10        2/13/2026 10:43:23 PM
Broker 4  Retail         40        10        2/13/2026 10:43:23 PM
Broker 4  Technology     183       10        2/13/2026 10:43:23 PM
Broker 2  Commodity      584       10        2/13/2026 10:43:23 PM
Broker 4  Commodity      584       10        2/13/2026 10:43:23 PM
Broker 2  Banking        110       10        2/13/2026 10:43:23 PM
Broker 3  Banking        110       10        2/13/2026 10:43:23 PM
Broker 4  Banking        110       10        2/13/2026 10:43:23 PM
Broker 1  Technology     185       11        2/13/2026 10:43:24 PM
Broker 2  Technology     185       11        2/13/2026 10:43:24 PM
Broker 4  Retail         41        11        2/13/2026 10:43:24 PM
Broker 3  Technology     185       11        2/13/2026 10:43:24 PM
Broker 4  Technology     185       11        2/13/2026 10:43:24 PM
Broker 2  Commodity      591       11        2/13/2026 10:43:24 PM
Broker 3  Banking        111       11        2/13/2026 10:43:24 PM
Broker 4  Commodity      591       11        2/13/2026 10:43:24 PM
Broker 4  Banking        111       11        2/13/2026 10:43:24 PM
Broker 1  Technology     189       12        2/13/2026 10:43:24 PM
Broker 2  Technology     189       12        2/13/2026 10:43:24 PM
Broker 4  Retail         42        12        2/13/2026 10:43:24 PM
Broker 3  Technology     189       12        2/13/2026 10:43:24 PM
Broker 4  Technology     189       12        2/13/2026 10:43:24 PM
Broker 2  Banking        112       12        2/13/2026 10:43:24 PM
Broker 4  Commodity      600       12        2/13/2026 10:43:24 PM
Broker 4  Banking        112       12        2/13/2026 10:43:24 PM
Broker 1  Technology     193       13        2/13/2026 10:43:25 PM
Broker 2  Technology     193       13        2/13/2026 10:43:25 PM
Broker 3  Technology     193       13        2/13/2026 10:43:25 PM
Broker 4  Technology     193       13        2/13/2026 10:43:25 PM
Broker 2  Commodity      604       13        2/13/2026 10:43:25 PM
Broker 4  Commodity      604       13        2/13/2026 10:43:25 PM
Broker 3  Banking        113       13        2/13/2026 10:43:25 PM
Broker 4  Banking        113       13        2/13/2026 10:43:25 PM
Broker 1  Retail         44        14        2/13/2026 10:43:25 PM
